"Delivery Date","Hour Ending","Repeated Hour Flag","REGDN","REGUP","RRS","NSPIN","total_lmp"
2013-01-01 01:00:00,"01:00","N",3.52,3.01,3,1,21.665
2013-01-01 02:00:00,"02:00","N",6.01,2,3,1,21.2225
2013-01-01 03:00:00,"03:00","N",5.61,2,3,1,20.795
2013-01-01 04:00:00,"04:00","N",5.52,3,3,1,20.095
2013-01-01 05:00:00,"05:00","N",5.35,3.01,3,1,19.87
2013-01-01 06:00:00,"06:00","N",21.25,4.81,3,1,20.095
2013-01-01 07:00:00,"07:00","N",10.1,5.75,3,1,22.3575
2013-01-01 08:00:00,"08:00","N",8.11,3.01,3.01,1,21.6075
2013-01-01 09:00:00,"09:00","N",3.45,3.01,3,1,21.995
2013-01-01 10:00:00,"10:00","N",3.06,3.58,3,1,23.375
2013-01-01 11:00:00,"11:00","N",3.45,4.47,3.07,1,24.6075
2013-01-01 12:00:00,"12:00","N",3.36,3,3,1,25.3575
2013-01-01 13:00:00,"13:00","N",3.25,2.74,2.28,1,24.86
2013-01-01 14:00:00,"14:00","N",3.25,2,1.95,1,24.2125
2013-01-01 15:00:00,"15:00","N",3.25,0.01,1.92,1,24.2025
2013-01-01 16:00:00,"16:00","N",3.45,0.01,1.95,1,24.1325
2013-01-01 17:00:00,"17:00","N",3.45,1.79,1.98,1,24.5175
2013-01-01 18:00:00,"18:00","N",1.92,11.46,10,1,47.87
2013-01-01 19:00:00,"19:00","N",3.45,11.71,13.28,1,37.0225
2013-01-01 20:00:00,"20:00","N",2.15,2.24,7.74,1,34.0225
2013-01-01 21:00:00,"21:00","N",2,2,6.65,1,33.2075
2013-01-01 22:00:00,"22:00","N",3.39,2,3.15,1,29.975
2013-01-01 23:00:00,"23:00","N",3.45,8.89,6.83,1,26.68
2013-01-02 00:00:00,"24:00","N",3.45,2.23,3,1,24.3625
2013-01-02 01:00:00,"01:00","N",3.45,3,3,1,23.23
2013-01-02 02:00:00,"02:00","N",4,2.3,2.98,1,23.0825
2013-01-02 03:00:00,"03:00","N",4,2.02,2.02,1,22.87
2013-01-02 04:00:00,"04:00","N",4,3,3,1,23.085
2013-01-02 05:00:00,"05:00","N",4,3,3,1,23.31
2013-01-02 06:00:00,"06:00","N",5.71,4.9,4.28,1,23.9108333333333
2013-01-02 07:00:00,"07:00","N",3.45,13.26,10.37,1,27.3025
2013-01-02 08:00:00,"08:00","N",2.43,10.44,11.75,1,32
2013-01-02 09:00:00,"09:00","N",1.32,6.25,7.78,1,33.3075
