"Delivery Date","Hour Ending","Repeated Hour Flag","REGDN","REGUP","RRS","NSPIN","total_lmp"
2016-01-01 01:00:00,"01:00","N",3.5,1.85,2.25,0.85,15.435
2016-01-01 02:00:00,"02:00","N",3.11,1,2,0.85,15.2025
2016-01-01 03:00:00,"03:00","N",3.01,1,1.75,0.85,14.995
2016-01-01 04:00:00,"04:00","N",3.01,1,1.75,0.85,15.005
2016-01-01 05:00:00,"05:00","N",3.98,1.75,1.75,0.85,15.395
2016-01-01 06:00:00,"06:00","N",8.61,2.25,2.25,0.85,15.5175
2016-01-01 07:00:00,"07:00","N",5.93,3.25,3.25,1.9,15.9975
2016-01-01 08:00:00,"08:00","N",3.5,3.01,3.01,3.61,16.7075
2016-01-01 09:00:00,"09:00","N",3.11,2.91,2.91,2,16.975
2016-01-01 10:00:00,"10:00","N",3.01,3.1,3.11,2.35,17.1625
2016-01-01 11:00:00,"11:00","N",3.46,4.02,4.02,4.82,17.4075
2016-01-01 12:00:00,"12:00","N",3.5,3.78,4.02,5,17.1475
2016-01-01 13:00:00,"13:00","N",3.11,3.45,3.71,5,17.335
2016-01-01 14:00:00,"14:00","N",3.46,3.21,3.45,5,17.5425
2016-01-01 15:00:00,"15:00","N",2.61,2.23,2.9,0.97,17.5175
2016-01-01 16:00:00,"16:00","N",1,1.75,3.01,0.97,17.5075
2016-01-01 17:00:00,"17:00","N",1,2,3.46,0.97,17.61
2016-01-01 18:00:00,"18:00","N",3.5,8.44,8.44,4.25,20.5591666666667
2016-01-01 19:00:00,"19:00","N",5,9.43,9.43,2.61,20.56
2016-01-01 20:00:00,"20:00","N",1,3,6.38,0.85,19.6866666666667
2016-01-01 21:00:00,"21:00","N",2.59,3,5.69,0.97,18.985
2016-01-01 22:00:00,"22:00","N",4,3,4.5,0.97,18.5041666666667
2016-01-01 23:00:00,"23:00","N",4.07,3,3.68,0.85,17.925
2016-01-02 00:00:00,"24:00","N",3.5,2.11,3.15,0.85,17.1775
2016-01-02 01:00:00,"01:00","N",3.11,2.11,2.42,0.85,16.9575
2016-01-02 02:00:00,"02:00","N",1.57,1.11,1.77,0.85,16.8525
2016-01-02 03:00:00,"03:00","N",1,1,1.75,0.85,16.7375
2016-01-02 04:00:00,"04:00","N",1,1,1.75,0.85,16.725
2016-01-02 05:00:00,"05:00","N",3.46,1.75,1.75,0.85,16.845
2016-01-02 06:00:00,"06:00","N",5.24,2.5,2.5,0.85,16.875
2016-01-02 07:00:00,"07:00","N",5,3.97,3.96,2.19,17.5825
2016-01-02 08:00:00,"08:00","N",2.61,4.77,4.77,2.88,18.57
2016-01-02 09:00:00,"09:00","N",1,3.5,5.5,2.5,19.2883333333333
2016-01-02 10:00:00,"10:00","N",1,4.16,5.01,2.66,20.41
2016-01-02 11:00:00,"11:00","N",3.11,5.74,5.74,5.14,21.5208333333333
2016-01-02 12:00:00,"12:00","N",2.61,5,5,5,20.8275
2016-01-02 13:00:00,"13:00","N",1.29,3.11,3.92,4.82,19.9225
2016-01-02 14:00:00,"14:00","N",3.11,2.82,3.06,4.82,19.07
2016-01-02 15:00:00,"15:00","N",2.61,1.7,2.11,0.97,17.6975
2016-01-02 16:00:00,"16:00","N",1,1.11,1.78,0.97,17.515
2016-01-02 17:00:00,"17:00","N",0.61,2,2.8,0.97,17.73
2016-01-02 18:00:00,"18:00","N",3.5,7,7,3.74,20.3675
2016-01-02 19:00:00,"19:00","N",5,5.14,6.61,2.22,20.3625
2016-01-02 20:00:00,"20:00","N",1,3,4.88,0.85,19.8775
2016-01-02 21:00:00,"21:00","N",1,3,3.87,0.85,19.025
2016-01-02 22:00:00,"22:00","N",3.46,3,3.11,0.85,17.9975
2016-01-02 23:00:00,"23:00","N",3.5,2.32,3.25,0.85,17.195
2016-01-03 00:00:00,"24:00","N",3.5,1.75,2.25,0.85,16.815
2016-01-03 01:00:00,"01:00","N",3.11,1.11,1.61,0.85,16.6875
2016-01-03 02:00:00,"02:00","N",2.61,1,1.61,0.85,16.1675
2016-01-03 03:00:00,"03:00","N",1,0.11,1.61,0.85,15.87
2016-01-03 04:00:00,"04:00","N",1,1,1.61,0.85,15.7025
2016-01-03 05:00:00,"05:00","N",3.46,1.5,1.61,0.85,15.845
2016-01-03 06:00:00,"06:00","N",4,2.11,2.11,0.85,16.3
2016-01-03 07:00:00,"07:00","N",5,3.26,3.26,2.5,18.0525
2016-01-03 08:00:00,"08:00","N",3.46,3.44,3.44,2.95,18.915
2016-01-03 09:00:00,"09:00","N",3.11,3,3.29,2,19.2825
2016-01-03 10:00:00,"10:00","N",2.08,3.34,3.39,2.59,19.705
2016-01-03 11:00:00,"11:00","N",3.11,3.25,3.25,4.82,19.2075
2016-01-03 12:00:00,"12:00","N",3.01,2.07,2.15,4.66,17.835
2016-01-03 13:00:00,"13:00","N",2.67,1,1.61,4.36,17.075
2016-01-03 14:00:00,"14:00","N",3.11,1,1.61,4.62,16.5475
2016-01-03 15:00:00,"15:00","N",3.01,1,1.75,0.97,16.095
2016-01-03 16:00:00,"16:00","N",1.9,1,2,0.97,15.905
2016-01-03 17:00:00,"17:00","N",0.9,1.11,2,0.97,16.59
2016-01-03 18:00:00,"18:00","N",2.61,5.09,5.09,1.9,18.0658333333333
2016-01-03 19:00:00,"19:00","N",5,4,5.01,1.9,19.5925
2016-01-03 20:00:00,"20:00","N",1,3,4.01,0.85,19.185
2016-01-03 21:00:00,"21:00","N",1,3,3.38,0.85,18.7425
2016-01-03 22:00:00,"22:00","N",3.46,2.82,3.01,0.85,18.53
2016-01-03 23:00:00,"23:00","N",3.5,2,2.25,0.85,17.325
2016-01-04 00:00:00,"24:00","N",3.5,1.55,2.11,0.85,16.875
2016-01-04 01:00:00,"01:00","N",3.16,1.11,1.11,0.85,16.8625
2016-01-04 02:00:00,"02:00","N",1.35,1,1,0.85,16.6675
2016-01-04 03:00:00,"03:00","N",1,1,1.3,0.85,16.6325
2016-01-04 04:00:00,"04:00","N",1,1.43,1.61,0.85,16.87
