"Delivery Date","Hour Ending","Repeated Hour Flag","REGDN","REGUP","RRS","NSPIN","total_lmp"
2017-01-01 01:00:00,"01:00","N",5,5,8,0.01,23.3575
2017-01-01 02:00:00,"02:00","N",3.76,3.34,8,0.01,21.465
2017-01-01 03:00:00,"03:00","N",3.5,3.05,8,0.47,20.735
2017-01-01 04:00:00,"04:00","N",3.5,3.2,8,0.47,20.27
2017-01-01 05:00:00,"05:00","N",5,8,8,0.47,20.12
2017-01-01 06:00:00,"06:00","N",9.11,22,8,0.5,19.7925
2017-01-01 07:00:00,"07:00","N",35,40.4,15,1,19.7225
2017-01-01 08:00:00,"08:00","N",3.52,5,11.55,1,19.7375
2017-01-01 09:00:00,"09:00","N",3.98,4,9,1,19.2625
2017-01-01 10:00:00,"10:00","N",3.46,4,8,1,19.8625
2017-01-01 11:00:00,"11:00","N",11.03,5,8,0.9,20.385
2017-01-01 12:00:00,"12:00","N",24,3.1,8,0.9,20.5925
2017-01-01 13:00:00,"13:00","N",3.5,3.1,8,0.9,19.96
2017-01-01 14:00:00,"14:00","N",3.5,3.1,8,0.9,19.76
2017-01-01 15:00:00,"15:00","N",3.5,3.1,8,0.5,19.56
2017-01-01 16:00:00,"16:00","N",1,2.9,8,0.5,19.3875
2017-01-01 17:00:00,"17:00","N",0.51,3,8,0.5,19.4625
2017-01-01 18:00:00,"18:00","N",3,20,21.65,0.5,20.11
2017-01-01 19:00:00,"19:00","N",3.5,12.36,18,0.5,20.055
2017-01-01 20:00:00,"20:00","N",3.44,3.1,8.8,0.5,19.4375
2017-01-01 21:00:00,"21:00","N",4.21,3.1,16,0.5,18.9725
2017-01-01 22:00:00,"22:00","N",6.81,3.2,12,0.5,18.24
2017-01-01 23:00:00,"23:00","N",15,4.74,15,0.01,10.3675
2017-01-02 00:00:00,"24:00","N",14.03,3,13,0.01,6.15666666666667
2017-01-02 01:00:00,"01:00","N",5.66,5,12,0.01,17.525
2017-01-02 02:00:00,"02:00","N",5,3.11,15.01,0.01,16.795
2017-01-02 03:00:00,"03:00","N",5,3.11,12,0.45,16.91
2017-01-02 04:00:00,"04:00","N",5,5,12,0.45,3.85
2017-01-02 05:00:00,"05:00","N",8.1,12,12,0.45,9.8875
2017-01-02 06:00:00,"06:00","N",10,200,19,0.45,10.6841666666667
2017-01-02 07:00:00,"07:00","N",42.45,43.58,15,0.97,17.1908333333333
2017-01-02 08:00:00,"08:00","N",7.47,5,12,0.97,18.165
2017-01-02 09:00:00,"09:00","N",6.15,5,9,0.97,18.515
2017-01-02 10:00:00,"10:00","N",3.5,5,12,1.05,19.46
2017-01-02 11:00:00,"11:00","N",35,4,14,0.97,19.8075
2017-01-02 12:00:00,"12:00","N",32.41,3.3,13,0.97,19.825
2017-01-02 13:00:00,"13:00","N",3.5,3.3,11.62,0.97,19.935
2017-01-02 14:00:00,"14:00","N",3.5,3.3,9,0.97,19.8475
2017-01-02 15:00:00,"15:00","N",3.5,3.3,9,0.5,20.1983333333333
2017-01-02 16:00:00,"16:00","N",0.68,3.1,9,0.5,21.1525
2017-01-02 17:00:00,"17:00","N",0.51,3.66,9,0.5,21.9825
2017-01-02 18:00:00,"18:00","N",3.11,29.36,31.36,0.5,66.2991666666667
2017-01-02 19:00:00,"19:00","N",3.5,9.05,20,0.5,24.4766666666667
2017-01-02 20:00:00,"20:00","N",3.45,3.69,20,0.5,21.7575
2017-01-02 21:00:00,"21:00","N",4.32,9.05,21,0.5,20.8825
2017-01-02 22:00:00,"22:00","N",6.94,7.1,41,0.5,20.0225
2017-01-02 23:00:00,"23:00","N",14.93,12,40,0.01,19.4525
2017-01-03 00:00:00,"24:00","N",12.83,4.83,13,0.01,18.0625
2017-01-03 01:00:00,"01:00","N",8.86,5,8,0.01,14.3375
