"Delivery Date","Hour Ending","Repeated Hour Flag","REGDN","REGUP","RRS","NSPIN","total_lmp"
2015-01-01 01:00:00,"01:00","N",2.11,2.11,3,1,22.4675
2015-01-01 02:00:00,"02:00","N",1.5,1.01,3,1,22.305
2015-01-01 03:00:00,"03:00","N",1.5,1.01,3,1,22.2025
2015-01-01 04:00:00,"04:00","N",1.5,1.01,3,1,22.1275
2015-01-01 05:00:00,"05:00","N",2.87,2.5,3,1,22.155
2015-01-01 06:00:00,"06:00","N",8.52,4.06,4.1,1.72,22.61
2015-01-01 07:00:00,"07:00","N",14.33,9.32,9.32,1,23.38
2015-01-01 08:00:00,"08:00","N",5.92,6,9.04,1,23.7775
2015-01-01 09:00:00,"09:00","N",3.01,5.9,9,1,24.46
2015-01-01 10:00:00,"10:00","N",3.46,6.43,9.52,1,26.9933333333333
2015-01-01 11:00:00,"11:00","N",3.9,5.55,8.1,1,27.955
2015-01-01 12:00:00,"12:00","N",3,4.79,7.57,1,28.4233333333333
2015-01-01 13:00:00,"13:00","N",3.01,3,5,1,27.49
2015-01-01 14:00:00,"14:00","N",3.45,3,4.24,1,26.195
2015-01-01 15:00:00,"15:00","N",2.99,2.5,4.1,1,24.8583333333333
2015-01-01 16:00:00,"16:00","N",2.69,2.61,4,1,24.6191666666667
2015-01-01 17:00:00,"17:00","N",2.98,4,4.85,1,25.5308333333333
2015-01-01 18:00:00,"18:00","N",3,23.42,23.42,4.62,29.3066666666667
2015-01-01 19:00:00,"19:00","N",3,24.56,25.56,6.34,28.605
2015-01-01 20:00:00,"20:00","N",2.98,9.21,12.3,6.34,27.5683333333333
2015-01-01 21:00:00,"21:00","N",3,5.86,8.17,3.86,27.4525
2015-01-01 22:00:00,"22:00","N",3.29,4,6,1,25.4375
2015-01-01 23:00:00,"23:00","N",2.64,3.81,4.1,1,24.23
2015-01-02 00:00:00,"24:00","N",3.36,3,4.1,1,22.8475
2015-01-02 01:00:00,"01:00","N",2.61,2.04,2.25,1,21.965
2015-01-02 02:00:00,"02:00","N",1.75,2.11,2.11,1,21.32
2015-01-02 03:00:00,"03:00","N",1,2.11,2.11,1,20.9375
2015-01-02 04:00:00,"04:00","N",1.5,2.11,2.11,1,20.92
2015-01-02 05:00:00,"05:00","N",4.72,2.34,2.34,1,21.245
2015-01-02 06:00:00,"06:00","N",6.42,4,4,1.58,21.945
2015-01-02 07:00:00,"07:00","N",5.71,20.39,20.39,4.22,22.62
2015-01-02 08:00:00,"08:00","N",3.11,11.63,12.63,4.22,23.66
2015-01-02 09:00:00,"09:00","N",3.11,6.74,8.64,1.35,24.6825
2015-01-02 10:00:00,"10:00","N",3.11,7.3,8.31,1.33,26.52
2015-01-02 11:00:00,"11:00","N",5.29,5.97,8.28,1,27.5025
2015-01-02 12:00:00,"12:00","N",3.32,3.82,6,1,26.57
2015-01-02 13:00:00,"13:00","N",3.32,3,5.13,1,25.1675
2015-01-02 14:00:00,"14:00","N",3.87,3,4.32,1,24.8925
2015-01-02 15:00:00,"15:00","N",4.4,2.5,4,1,24.5575
2015-01-02 16:00:00,"16:00","N",3.21,2.22,3.69,1,24.5925
