"Delivery Date","Hour Ending","Repeated Hour Flag","REGDN","REGUP","RRS","NSPIN","total_lmp"
2011-01-01 01:00:00,"1:00","N",6,3.21,3.21,2,23.73
2011-01-01 02:00:00,"2:00","N",6,3,3,1.95,22.105
2011-01-01 03:00:00,"3:00","N",5,4.26,4.26,1.91,21.3275
2011-01-01 04:00:00,"4:00","N",5,4.19,4.19,1.89,20.9025
2011-01-01 05:00:00,"5:00","N",7,5.51,5.51,2,21.6725
2011-01-01 06:00:00,"6:00","N",7,6.91,6.91,2.49,22.3575
2011-01-01 07:00:00,"7:00","N",4,28.56,19.31,3.08,23.22
2011-01-01 08:00:00,"8:00","N",6.92,12.47,12.47,3.08,23.7825
2011-01-01 09:00:00,"9:00","N",4,15.88,15.88,2.88,25.995
2011-01-01 10:00:00,"10:00","N",7.27,12.09,12.09,2.88,27.3
2011-01-01 11:00:00,"11:00","N",4,5.53,6.5,2.23,28.5175
2011-01-01 12:00:00,"12:00","N",4.4,5.98,6.5,2.27,28.4375
2011-01-01 13:00:00,"13:00","N",3,5.43,5.65,2.3,27.25
2011-01-01 14:00:00,"14:00","N",3.01,3.85,4.34,2.34,25.3825
2011-01-01 15:00:00,"15:00","N",3.2,3.91,4.36,2.36,24.21
2011-01-01 16:00:00,"16:00","N",3.17,4.43,4.43,2.37,24.325
2011-01-01 17:00:00,"17:00","N",3.7,4.5,4.5,2.44,24.13
2011-01-01 18:00:00,"18:00","N",4.5,12.82,9.78,2.73,26.07625
2011-01-01 19:00:00,"19:00","N",7.91,28.25,22.53,2.24,35.865
2011-01-01 20:00:00,"20:00","N",3.97,14.61,14.61,2.21,36.43
2011-01-01 21:00:00,"21:00","N",2.5,10,10,2.2,43.4
2011-01-01 22:00:00,"22:00","N",3.75,6.22,6.47,2.18,34.0875
2011-01-01 23:00:00,"23:00","N",4.87,6.6,6.6,2.11,29.9775
2011-01-02 00:00:00,"24:00:00","N",4.53,7.91,7.91,2,30.5075
2011-01-02 01:00:00,"1:00","N",4.66,3,3,1.97,29.7375
2011-01-02 02:00:00,"2:00","N",4.02,3,3,1.89,28.0325
2011-01-02 03:00:00,"3:00","N",2.5,3,3,1.85,27.39
2011-01-02 04:00:00,"4:00","N",2.5,3,3,1.83,28.41
2011-01-02 05:00:00,"5:00","N",5,3.91,3.91,2.8,29.61125
2011-01-02 06:00:00,"6:00","N",7,8.06,5.23,2.8,27.5525
2011-01-02 07:00:00,"7:00","N",3.91,22.3,5.91,3.08,30.7675
2011-01-02 08:00:00,"8:00","N",7.11,14.39,10.91,3.08,35.785
2011-01-02 09:00:00,"9:00","N",4.2,16.5,10.98,2.88,51.20125
2011-01-02 10:00:00,"10:00","N",7.91,10,7.29,2.88,35.4025
2011-01-02 11:00:00,"11:00","N",4.5,4.99,4.99,2.18,31.80875
2011-01-02 12:00:00,"12:00","N",4.44,4.7,4.99,2.28,29.0075
2011-01-02 13:00:00,"13:00","N",3.26,4.34,4.34,2.34,26.7925
2011-01-02 14:00:00,"14:00","N",4.1,3.91,4.3,2.39,24.72
2011-01-02 15:00:00,"15:00","N",4.4,3.91,4.27,2.41,23.805
2011-01-02 16:00:00,"16:00","N",4.77,4.42,4.42,2.42,23.2275
2011-01-02 17:00:00,"17:00","N",3.94,4.7,4.7,2.7,23.6375
2011-01-02 18:00:00,"18:00","N",6.75,15.14,7.6,2.93,27.09625
2011-01-02 19:00:00,"19:00","N",12.91,30,18.77,3.17,36.54125
2011-01-02 20:00:00,"20:00","N",4,15.26,12.17,2.57,31.145
2011-01-02 21:00:00,"21:00","N",2.5,12.63,8.5,2.42,27.35
2011-01-02 22:00:00,"22:00","N",3.03,8.5,8.5,2.23,25.65875
2011-01-02 23:00:00,"23:00","N",7.91,9.3,8.5,2.3,23.525
2011-01-03 00:00:00,"24:00:00","N",4.53,7.55,7.55,2.05,21.61375
2011-01-03 01:00:00,"1:00","N",6,3.21,3.21,1.97,22.0325
2011-01-03 02:00:00,"2:00","N",6,3,3,1.93,21.345
2011-01-03 03:00:00,"3:00","N",4.46,3.83,4,1.87,21.66
2011-01-03 04:00:00,"4:00","N",4,4,4,1.84,22.2475
2011-01-03 05:00:00,"5:00","N",7,5.5,5.5,2.73,22.1525
2011-01-03 06:00:00,"6:00","N",7,8.06,8.06,2.8,23.1325
2011-01-03 07:00:00,"7:00","N",4,26.84,20.93,4.03,25.88625
2011-01-03 08:00:00,"8:00","N",7.91,21.47,23.95,4.03,27.3925
2011-01-03 09:00:00,"9:00","N",4.2,13.5,13.5,3.48,26.97125
2011-01-03 10:00:00,"10:00","N",7.91,8.29,10.37,3.08,26.495
2011-01-03 11:00:00,"11:00","N",4.53,3.5,6.34,2.93,26.215
2011-01-03 12:00:00,"12:00","N",4.5,4.24,5.64,2.93,23.8675
2011-01-03 13:00:00,"13:00","N",3.07,5.43,5.43,2.93,23.44625
2011-01-03 14:00:00,"14:00","N",4,3.6,4,2.92,22.545
2011-01-03 15:00:00,"15:00","N",3.61,3.84,4,2.5,22.2425
2011-01-03 16:00:00,"16:00","N",4,3.91,4,2.5,22.225
2011-01-03 17:00:00,"17:00","N",4.25,4.5,4.5,2.5,23.5325
2011-01-03 18:00:00,"18:00","N",7.65,14.21,6.91,5,25.94875
2011-01-03 19:00:00,"19:00","N",10.91,30.7,19.8,5.21,29.72125
2011-01-03 20:00:00,"20:00","N",6.06,12.42,11.67,3.23,30.555
2011-01-03 21:00:00,"21:00","N",2.5,9.68,7.91,2.31,26.29
2011-01-03 22:00:00,"22:00","N",4.3,5.04,4.99,2.25,21.9575
2011-01-03 23:00:00,"23:00","N",8.12,8.28,8.28,2.13,20.83625
